docidx	widx
84	5505
84	5509
84	5788
84	6515
85	526
85	526
85	526
85	536
85	637
85	638
85	1024
85	1336
85	1336
85	1421
85	1423
85	1425
85	1425
85	1425
85	1425
85	2201
85	2580
85	2580
85	3163
85	3286
85	3286
85	3287
85	3287
85	3367
85	3405
85	3405
85	3405
85	3739
85	3780
85	3780
85	4402
85	4667
85	4700
85	4700
85	4700
85	4733
85	5022
85	5136
85	5136
85	5136
85	5136
85	5141
85	5141
85	5141
85	5141
85	5142
85	5142
85	5422
85	5463
85	5463
85	5473
85	6305
85	6593
85	6593
85	6593
85	6608
85	6720
85	6723
85	6723
85	6723
86	222
86	369
86	369
86	491
86	491
86	491
86	491
86	491
86	496
86	548
86	636
86	1177
86	1421
86	1421
86	1421
