docidx	widx
300	1085
300	5684
300	1085
301	1319
301	2153
301	6473
301	3860
301	4758
301	3691
301	1630
302	2961
302	1337
302	1085
302	4089
302	6593
302	6391
302	3860
303	6727
303	3287
303	3311
304	602
304	5249
304	5249
304	147
304	4234
304	5249
304	5087
304	3078
305	755
305	2100
305	4392
305	6564
305	3555
305	5535
305	5535
305	5535
305	6437
306	3120
306	6023
306	6085
306	3402
306	6720
306	1383
306	815
306	2439
306	6023
306	4107
306	5714
307	4105
307	4105
307	2787
307	6661
307	4105
307	6568
307	14
307	291
307	6661
307	5105
307	2494
307	5627
308	5491
308	6593
308	6752
308	6023
308	915
308	5845
308	1271
308	1070
308	1745
308	6023
308	1167
308	6085
308	6065
309	1581
309	1580
309	1985
309	5426
309	1777
309	5426
309	1580
309	5923
309	1985
310	1366
310	1163
310	4850
310	3305
310	824
310	974
310	2917
310	868
311	1676
311	6272
311	1421
311	4240
311	496
311	418
311	3850
312	4297
312	4399
312	2165
312	5692
312	6361
312	1649
312	5491
312	3874
312	5918
313	5701
313	5731
313	1234
313	5731
313	2160
314	5249
314	5556
314	5290
314	3384
314	2360
314	5196
314	2360
315	676
315	3850
315	239
315	4399
315	4399
315	1395
315	6437
315	3451
315	676
315	1740
316	5679
316	1458
316	5232
316	4569
316	5445
316	5523
316	2657
316	2010
316	2657
316	6501
316	6593
316	2342
317	3100
317	5692
317	6377
317	4769
317	6018
318	715
318	6247
318	1676
318	3895
318	5045
318	6593
318	6021
319	5199
319	912
319	5387
319	1489
319	4259
319	5387
320	5746
320	6044
320	522
320	6593
320	6593
320	5746
320	1032
320	6593
320	3872
321	4996
321	4996
321	4996
321	835
321	4996
322	4546
322	5805
322	3865
322	3394
322	3242
322	5527
322	4765
322	3384
322	5507
322	5374
323	5546
323	6593
323	5580
323	3065
323	3929
323	2487
323	3350
323	3354
323	3929
323	3780
323	2147
323	3350
323	2723
323	2241
323	3929
323	286
323	5491
323	3350
323	3929
323	31
323	526
324	78
324	6048
324	9
324	6048
324	5489
324	6048
324	5813
324	2310
324	4663
324	6048
324	5144
324	5489
324	2564
324	2564
325	5532
325	6038
325	5454
325	3876
325	4113
325	5400
325	5914
325	5679
325	3024
325	2206
325	3399
326	244
326	629
326	5221
326	1292
326	5373
326	2361
326	6217
326	3371
326	3884
326	2360
327	3860
327	863
327	1657
327	5618
327	2257
327	6561
327	4266
327	3876
327	3876
327	1034
327	3876
328	491
328	3545
328	75
329	5692
329	6422
329	1301
329	3897
329	526
329	3101
329	3898
330	5817
330	4561
330	6593
331	688
331	6593
331	4513
331	3361
332	75
332	4624
332	6593
332	6077
332	4521
333	1521
333	2251
333	3860
333	2746
333	842
333	4432
333	4191
333	6048
333	4191
333	6384
334	3096
334	4931
334	2222
334	2490
334	1404
335	3303
335	2749
335	5477
335	6720
335	5474
336	3079
336	1849
336	1849
336	2639
336	6575
336	3813
337	3876
337	1002
337	4239
337	78
337	2622
337	2928
337	4949
337	3876
337	78
337	6590
338	3670
338	1193
338	2012
338	5714
339	4996
339	5039
339	5491
339	6065
339	6263
340	5988
340	6412
340	3676
340	4199
340	1233
341	425
341	5291
341	5171
341	5591
341	3405
342	4296
342	5714
342	5973
342	158
342	5482
342	4381
342	5554
342	3784
343	5608
343	5855
343	1594
343	5664
343	5664
343	5194
343	4087
343	3684
343	201
344	6607
344	45
344	2113
344	4029
344	4681
345	5224
345	5171
345	793
345	4907
345	1896
345	6256
345	6743
345	1489
345	508
345	526
346	676
346	6571
346	720
346	56
346	2327
346	842
346	3687
346	4923
346	3687
346	2956
346	2089
347	3398
347	3622
347	5163
347	1797
347	4296
347	3486
347	717
348	738
348	5664
348	2289
348	5705
348	562
349	3545
349	3549
349	3444
349	5224
349	6014
349	5224
349	3670
349	407
349	4958
349	1539
349	3287
350	4522
350	2761
350	4615
350	5096
350	2138
350	3860
350	86
351	4992
351	4992
351	4113
351	1661
351	4530
351	30
352	6611
352	1406
352	3174
352	5171
352	5171
352	5324
352	5805
353	2435
353	6687
353	6503
353	465
353	4931
353	5738
354	2694
354	2155
354	2564
354	1717
354	2289
354	4996
354	3100
354	5344
354	5387
354	1986
355	4412
355	4512
355	5388
355	4512
355	4512
355	4512
355	700
356	1697
356	1538
356	198
357	5587
357	1540
357	6593
358	2226
358	3461
358	6535
358	4791
359	6720
359	5224
359	5224
359	5463
359	6720
359	5224
359	6720
359	5923
359	5224
359	5224
359	5224
359	6727
360	3180
360	78
360	4657
360	3273
361	3861
361	5324
361	5491
361	5735
361	1912
361	3860
361	3779
361	4985
362	5224
362	79
362	5228
363	4164
363	2285
363	669
363	115
363	5692
363	1676
363	3279
363	6593
363	4163
363	4165
363	3643
363	4932
363	5334
364	1533
364	6513
364	5714
364	5057
364	5714
364	5714
364	5613
364	5714
364	5714
365	1175
365	3913
365	1459
365	1768
365	3496
365	2419
365	6134
366	3384
366	3384
366	573
366	1493
366	1200
366	5505
366	574
366	6364
366	4690
367	6185
367	5774
367	1155
367	3727
367	3784
367	1295
367	5482
367	2084
367	2007
367	6185
367	6719
367	2833
367	496
368	3309
368	2012
368	6593
368	6743
368	4244
368	5224
368	2010
368	4996
368	3670
368	3309
368	4502
369	21
